ID, ﻿Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
26 , AMARANTHACEAE,Amaranthus,,sp.,Pigweed,,S. Utah Pai-Ute.  Collected by J.W. Powell.  314833,,1977,H.C. Cutler,,
27 , AMARANTHACEAE,Amaranthus,,sp.,Pigweed,,,,,C. Erickson,,
28 , Amaranthaceae,Amaranthus,blitus,,Purple amaranth,seeds,USDA GRIN,PI490298,2023,,,
29 , AMARANTHACEAE,Amaranthus,caudatus,L.,Purple amaranth,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
30 , AMARANTHACEAE,Amaranthus,caudatus,L. ssp.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
31 , AMARANTHACEAE,Amaranthus,cruentus X. A. powelli,X. A. powelli,Hopi Red Dye Amaranth,,Native Seed Search,,1994,,,
32 , AMARANTHACEAE,Amaranthus,cruentus X. powelli,X. powelli,Moenkopi mix,,Native Seed Search,,10/13/06,G.J. Fritz,,
33 , AMARANTHACEAE,Amaranthus,cruentus,,Marbled,,Native Seed Search ,,10/13/06,G.J. Fritz,,
34 , AMARANTHACEAE,Amaranthus,cruentus,,Mayo Grain,,Native Seed Search ,,10/13/06,G.J. Fritz,,
35 , AMARANTHACEAE,Amaranthus,cruentus,,Mexican Grain,,Native Seed Search ,,10/13/06,G.J. Fritz,,
36 , AMARANTHACEAE,Amaranthus,cruentus,,Mountain Pima Green,,Native Seed Search ,,10/13/06,G.J. Fritz,,
37 , AMARANTHACEAE,Amaranthus,cruentus,,Paiute,,Native Seed Search ,,10/13/06,G.J. Fritz,,
38 , AMARANTHACEAE,Amaranthus,cruentus,L.,Amaranth,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
39 , AMARANTHACEAE,Amaranthus,cruentus,L.,Purple Amaranth,,U.S. Arboretum,,1987,G.J. Fritz,,
40 , AMARANTHACEAE,Amaranthus,cruentus,L.,Purple Amaranth,,"Ann Arbor, MI",,,G.J. Fritz,,
41 , Amaranthaceae,Amaranthus,dubius,,Red spinach,seeds,USDA GRIN,AMES2005,2023,,,
42 , AMARANTHACEAE,Amaranthus,hybridus,L.,Slender Pigweed/Green Pigweed,,"Pecos, NM",,10/7/95,G. Powell,,
43 , AMARANTHACEAE,Amaranthus,hybridus,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
44 , AMARANTHACEAE,Amaranthus,hybridus,L. em. Robins. Convar.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
45 , AMARANTHACEAE,Amaranthus,erythrostachys,Thell.,,,,,,,,
46 , AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,Blonde or Golden Amaranth,,"Grown by Bill Rose, St. Joseph, MO",,1992,,,
47 , AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,Burgandy Amaranth,,"Durango, Mexico.     Bill Rose, St. Joe., MO",,1992,,,
48 , AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,(probably),,"Popped seeds from University City, MO market",,1992,C. Graber,,
49 , AMARANTHACEAE,Amaranthus,hypochrondiacus  X hybrid,L.,Guarijio Indian grain,,Native Seed Search,,1991,G.J. Fritz,,
50 , AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,San Lorenzo Amaranth,,Native Seed Search,,1991,G.J. Fritz,,
51 , AMARANTHACEAE,Amaranthus,hypochrondiacus X hybrid,L. ,Guarijio Indian grain,,Native Seed Search,,1990,G.J. Fritz,,
52 , AMARANTHACEAE,Amaranthus,hypochrondiacus,L.,San Lorenzo Amaranth,,Native Seed Search,,1990,G.J. Fritz,,
53 , AMARANTHACEAE,Amaranthus,powellii,S. Watson,,,"Botanical Gardens at University of Leipzig, Germany",,3/01,G.J. Fritz,,
54 , AMARANTHACEAE,Amaranthus,retroflexus,L.,,,"Botanical Gardens at University of Leipzig, Germany",,3/01,G.J. Fritz,,
55 , AMARANTHACEAE,Amaranthus,retroflexus,L.,,,"Hortus Botanicus Universitatis.  Szeged, Hungaria",,1997,G.J. Fritz,,
56 , AMARANTHACEAE,Amaranthus,retroflexus,L.,Rought green Amaranth,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
57 , AMARANTHACEAE,Amaranthus,retroflexus,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
58 , AMARANTHACEAE,Amaranthus,spp.,,Tarahumara Okite,,Native Seed Search ,,10/13/06,G.J. Fritz,,
59 , Amaranthaceae,Amaranthus,spinosus,,Spiny amaranth,Seeds,USDA GRIN,AMES2150,2023,,,
60 , AMARANTHACEAE,Amaranthus,tricolor,L.,Chinese cabbage,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
61 , AMARANTHACEAE,Amaranthus,tricolor,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
62 , AMARANTHACEAE,Amaranthus,tricolor,L. cv.,White Leaf,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
63 , AMARANTHACEAE,Gomphrena,globosa,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
64 , AMARANTHACEAE,Gomphrena,globosa,L.,Globe Amaranth,,Vaughan 2525,,1977,H.C. Cutler,,
