ID, ﻿Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
541 , CAPRIFOLIACEAE,Sambucus,caerulea ,Raf., ,,"Hoyt Arboretum.  Portland, OR. Collected at Mutnomah Co., OR",,1997,G.J. Fritz,,
542 , CAPRIFOLIACEAE,Sambucus,callicarpa ,Greene,,,"Hoyt Arboretum.  Portland, OR. Collected at Mutnomah Co., OR",,1997,G.J. Fritz,,
543 , CAPRIFOLIACEAE,Sambucus,canadensis,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/14/94,G.J. Fritz,,
544 , CAPRIFOLIACEAE,Sambucus,canadensis,L.,Elderberry,,,,1977,H.C. Cutler,,
545 , CAPRIFOLIACEAE,Sambucus,canadensis,L.,Elderberry,,"Dupo, St. Clair Co., IL",,1976,G.E. Wagner,,
546 , CAPRIFOLIACEAE,Sambucus,ebulus,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
547 , CAPRIFOLIACEAE,Sambucus,nigra,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
548 , CAPRIFOLIACEAE,Sambucus,racemosa,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,7/21/94,G.J. Fritz,,
549 , CAPRIFOLIACEAE,Sambucus,racemosa,L.,Red-berried elder,,"Emmet Co., MI",,1990,L.W. Blake,,
550 , CAPRIFOLIACEAE,Symphoricarpus,albus,(L.) Blake,,,W.J. Beal Botanical Garden. MI State Univ.,,11/4/94,G.J. Fritz,,
551 , CAPRIFOLIACEAE,Symphoricarpus,orbiculatus,Moench,Coralberry,,,,1977,H.C. Cutler,,
552 , CAPRIFOLIACEAE,Symphoricarpus,orbiculatus,Moench,Coralberry,,"St. Louis Co., MO",,1971,L.W. Blake,,
553 , CAPRIFOLIACEAE,Triosteum,auranticum ,Bickn.,,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
554 , CAPRIFOLIACEAE,Viburnum,acerifolium,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",,5/2001,G.J. Fritz,,
555 , CAPRIFOLIACEAE,Viburnum,acerifolium ,L.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Collected at Solebury Twp., Bucks Col., PA",,1997,G.J. Fritz,,
556 , CAPRIFOLIACEAE,Viburnum,acerifolium ,L.,Maple Leaf Viburnum,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
557 , CAPRIFOLIACEAE,Viburnum,dentatum ,L.,Southern Arrow-wood,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Collected at Silver Lake Nature Center.,  Bucks Co., PA",,1997,G.J. Fritz,,
558 , CAPRIFOLIACEAE,Viburnum,dilatatum,Thunb.,Catskill,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
559 , CAPRIFOLIACEAE,Viburnum,dilatatum ,Thunb.,Erie,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
560 , CAPRIFOLIACEAE,Viburnum,lentago,L.,Nannyberry,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
561 , CAPRIFOLIACEAE,Viburnum,lentago ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/4/94,G.J. Fritz,,
562 , CAPRIFOLIACEAE,Viburnum,nudum,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
563 , CAPRIFOLIACEAE,Viburnum,opulus,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/19/94,G.J. Fritz,,
564 , CAPRIFOLIACEAE,Viburnum,opulus ,L.,High-bush cranberry,,"Emmet Co., MI",,1986,L.W. Blake,,
565 , CAPRIFOLIACEAE,Viburnum,orientale,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
566 , CAPRIFOLIACEAE,Viburnum,prunifolium ,L.,Black Haw,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
567 , CAPRIFOLIACEAE,Viburnum,rufidulum ,Raf.,Southern black haw,,"Beside main entrance to Babler State Park. St. Louis Co., MO",,9/17/78,L.W. Blake,,
568 , CAPRIFOLIACEAE,Viburnum,rufidulum,Raf.,Southern black haw,,"St. Louis Co., MO",,1977,L.W. Blake,,
569 , CAPRIFOLIACEAE,Viburnum,rufidulum ,Raf.,Southern black haw,,"St. Clair Co., IL",,1978,G.E. Wagner,,
570 , CAPRIFOLIACEAE,Viburnum,sargentii ,Koehne,Susquehana,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
571 , CAPRIFOLIACEAE,Viburnum,schensianum,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
572 , CAPRIFOLIACEAE,Viburnum,schensianum,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
573 , CAPRIFOLIACEAE,Viburnum,sieboldii ,Miq.,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
574 , CAPRIFOLIACEAE,Viburnum,trilobum ,Marsh.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
575 , CAPRIFOLIACEAE,Viburnum,trilobum ,Marsh.,American cranberry bush,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
576 , CAPRIFOLIACEAE,Viburnum,utile,,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
577 , CAPRIFOLIACEAE,Viburnum,wrightii ,Miq.,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
578 , CARICACEAE,Carica,papaya,L.,Papaya,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,10/2008,A. J. Landon,,
579 , CARICACEAE,Carica,papaya,L.,Papaya,,"Col. North Pemba Island, T3, Tanzania",,7/2004,S. Walshaw,,
580 , CARICACEAE,Carica,papaya,L.,Papaya,,"purchased at local grocery store.  St. Louis, MO",,1994,G.J. Fritz,,
581 , CARICACEAE,Carica,papaya,L.,Papaya,,"Kroger Grocery.  St. Louis, MO",,1978,G.E. Wagner,,
582 , CARYOPHYLLACEAE,Agrostemma,githago,L.,,,"Botanical Garden of Bonn University, Germany Schweiz, Kanton Fribourgh, Brachacker bei Frasses 500m.",,9/2002,B. Moseler,,
583 , CARYOPHYLLACEAE,Agrostemma,githago ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
584 , CARYOPHYLLACEAE,Arenaria,laterifolia,L.,Blunt-leaved Sandwort,,,,1977,H.C. Cutler,,
585 , CARYOPHYLLACEAE,Arenaria,procera ,ssp. glabra Holub,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
586 , CARYOPHYLLACEAE,Arenaria,serpyllifolia,,,Seeds,Botanicher Garten der Universität Leipzig,334,,,,NEEDS LABEL
587 , CARYOPHYLLACEAE,Cerastium,alpinum ,L.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
588 , CARYOPHYLLACEAE,Cerastium,tomentosum,L.,Dusty miller,,"Botanical Garden of Bonn University, Germany",,6/1994,G.J. Fritz,,
589 , CARYOPHYLLACEAE,Dianthus,alpinus ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
590 , CARYOPHYLLACEAE,Dianthus,barbatus ,L.,Sweet william,,"Botanical Garden of Bonn University, Germany",,6/1994,G.J. Fritz,,
591 , CARYOPHYLLACEAE,Dianthus,caryophyllus ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
592 , CARYOPHYLLACEAE,Dianthus,sequieri ,Vill.,,,"Botanic Garden of Smith College Northampton, MA  01063",,6/16/06,G.J. Fritz,,
593 , CARYOPHYLLACEAE,Gypsophila,altissima ,L.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
594 , CARYOPHYLLACEAE,Lychnis,alpine,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
595 , CARYOPHYLLACEAE,Lychnis,coeli-rosa ,Desn.,Rose-of-heaven,,,,1977,H.C. Cutler,,
596 , CARYOPHYLLACEAE,Lychnis,chalcedonica ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
597 , CARYOPHYLLACEAE,Lychnis,flos-jovis,(L.) Desr.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
598 , CARYOPHYLLACEAE,Lychnis,flos-jovis ,(L.) Desr.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
599 , CARYOPHYLLACEAE,Saponaria,officinalis ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
600 , CARYOPHYLLACEAE,Saponaria,officinalis ,L.,"Soapwort,  Bouncing Bet",,"St. Louis Co., MO.  North side of Millbrook,  opposite Wash. U.",,6/21/80,L.W. Blake,,
601 , CARYOPHYLLACEAE,Saponaria,officinalis,L.,"Soapwort, Bouncing Bet",,"St. Louis, MO missing 5/9/97q",,1977,H.C. Cutler,,
602 , CARYOPHYLLACEAE,Saponaria,officinalis ,L.,"Soapwort, Bouncing Bet",,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
603 , CARYOPHYLLACEAE,Saponaria,pamphylica,,,Seeds,"Botanic Garden of Smith College Northampton, MA  01063",148,2014,G.J. Fritz,,NEEDS LABEL
604 , CARYOPHYLLACEAE,Scleranthus,annus,L.,Annual knawel,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
605 , CARYOPHYLLACEAE,Silene,,,,,"Tuzusai, Kazakhstan",,2010,R. Spengler,,
606 , CARYOPHYLLACEAE,Silene,alba ,(Miller) E.H. L. Krause in Sturm,White campion,,"Botanical Garden of Bonn University, Germany",,1995,G.J. Fritz,,
607 , CARYOPHYLLACEAE,Silene,compacta,,,,"Botanical Garden of Bonn University, Germany Georgien, Ratscha, Mamisoni-PaB, 2000m, 42°42.077 N, 43°46.310 O, A. Groger & W. Lobin 202-4, 14.8.2002",,2003,G.J. Fritz,,
608 , CARYOPHYLLACEAE,Silene,conoidea ,L.,,,,,1977,H.C. Cutler,,
609 , CARYOPHYLLACEAE,Silene,frivaldszkyana,Hampe,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
610 , CARYOPHYLLACEAE,Silene,laciniata,,Indian Pink,,"Plants of the Southwest.  Santa Fe, NM    87501",,1999,G. Powell,,
611 , CARYOPHYLLACEAE,Silene,regia ,Sims,Royal catchfly,,"Missouri Wildflower Nursery.  Jefferson City, MO.",,6/1994,G.J. Fritz,,
612 , CARYOPHYLLACEAE,Silene,viridiflora ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
613 , CARYOPHYLLACEAE,Silene,vulgaris,(Moench) Garcke.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
614 , CARYOPHYLLACEAE,Silene,vulgaris ,(Moench) Garcke. Ssp. Vulgaris,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
615 , CARYOPHYLLACEAE,Spergula,arvensis,L.,Corn Spurrey,,"Botanical Garden of Bonn University, Germany",,7/1994,G.J. Fritz,,
616 , CARYOPHYLLACEAE,Stellaria,,,,,"China, Pixian stream bank",,12/2010,R. Spengler,,
617 , CARYOPHYLLACEAE,Stellaria,media ,L.,Stitchwort,,"Sachsen-Anhalt, b. Aschersleben.   Botanischer Garten, Halle, Germany",,1993,,,
618 , CARYOPHYLLACEAE,Stellaria,media ,(L.) Villars,Common chickweed,,"St. Louis Co., MO.",,1993,G.J. Fritz,,
619 , CARYOPHYLLACEAE,Vaccaria,hispanica ,(Mill.) Rauschert,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
620 , CELASTRACEAE,Celastrus,scandens,L.,American bittersweet,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Collected in Bucks, Co., PA",,1997,G.J. Fritz,,
621 , CELASTRACEAE,Euonymus,americanus ,L.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA",,1997,G.J. Fritz,,
622 , CELASTRACEAE,Euonymus,americanus,L.,Strawberry bush,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
623 , CELASTRACEAE,Euonymus,americanus ,L.,Hearts-a-bursting with love,,"Butler Co., KY",,1978,G.E. Wagner,,
624 , CELASTRACEAE,Euonymus,obovata,Nutt.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Southworth Woods,,1999,G.J. Fritz,,
625 , CHENOPODIACEAE,Atriplex,,sp.,Orach Greens,,Native Seeds Search,,1994,G.J. Fritz,,
626 , CHENOPODIACEAE,Atriplex,,sp.,Orach,,"Ann Arbor, MI",,1991,G.J. Fritz,,
627 , CHENOPODIACEAE,Atriplex,,sp.,Orach,,"Ann Arbor, MI",,1987,G.J. Fritz,,
628 , CHENOPODIACEAE,Atriplex,,sp.,Orach,,Southwestern United States,,,C. Erickson,,
629 , CHENOPODIACEAE,Atriplex,canescens,(Pursh.) Nutt.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
630 , CHENOPODIACEAE,Atriplex,canescens ,(Pursh.) Nutt.,Four-wing saltbush,,"Navajo Co., AZ",,1982,G.E. Wagner,,
631 , CHENOPODIACEAE,Atriplex,hortensis,L. (Roth.),,,"Hortus Botanicus.  Universitatis, Szeged, Hungaria",,1997,G.J. Fritz,,
632 , CHENOPODIACEAE,Atriplex,hortensis ,L.,Garden orach,,,,1977,H.C. Cutler,,
633 , CHENOPODIACEAE,Atriplex,hortensis,,,,W.J. Beal Botanical Garden. MI State Univ.,,3/6/07,G.J. Fritz,,
634 , CHENOPODIACEAE,Atriplex,patula ,L.,Common orach,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
635 , CHENOPODIACEAE,Atriplex,spinachia,L.,Spinach,,Vaughan 3766,,1977,H.C. Cutler,,
636 , CHENOPODIACEAE,Atriplex,truncata ,(J. Torr.) A. Gray,Salt bush,,,,1977,H.C. Cutler,,
637 , CHENOPODIACEAE,Beta,vulgaris ,L.,Swiss chard,,Vaughan 3823,,1977,H.C. Cutler,,
638 , CHENOPODIACEAE,Beta,vulgaris ,L.,Beet,,Vaughan 3062,,1977,H.C. Cutler,,
639 , CHENOPODIACEAE,Chenopodium,,sp.,,,,,,,,
640 , CHENOPODIACEAE,Chenopodium,album ,L.,Lamb's quarters,,,,,C. Erickson,,
641 , CHENOPODIACEAE,Chenopodium,ambrosioides ,L.,,,"collected from disturbed area by sidewarlk.  Area N. of Forest Park Pkwy, across from Wash. U. PEB students.  @1994",,9/2002,,,
642 , CHENOPODIACEAE,Chenopodium,berlandieri,Moq.,Southern Huazontle,,Native Seed Search,,1994,,,
643 , CHENOPODIACEAE,Chenopodium,berlandieri,Moq.,Goosefoot,,"Ann Arbor, MI",,1992,M.L. Williams,,
644 , CHENOPODIACEAE,Chenopodium,berlandieri,Moq.,Huazontle,,Native Seed Search,,1990,L.W. Blake,,
645 , CHENOPODIACEAE,Chenopodium,berlandieri,Moq.,Goosefoot,,"St. Charles Co., MO",,1990,L.W. Blake,,
646 , CHENOPODIACEAE,Chenopodium,berlandieri,Moq. ssp. Jonesianum,Huazontle (ID David Asch),,"Archaeological from Parchman Place, MD",,1984,J. Connaway,,
647 , CHENOPODIACEAE,Chenopodium,berlandieri ,Moq. var. nuttalliae,,,W.J. Beal Botanical Garden. MI State Univ.,,9/1/93,G.J. Fritz,,
648 , CHENOPODIACEAE,Chenopodium,bonus-henricus ,L.,,,"Botanical Garden of Bonn University, Germany Deutschland, Nordrhein-Westfalen, Eifel, Sistig- Krekeler Heide, A. Kramer & K. Finkel 2-2003",,2003,G.J. Fritz,,
649 , CHENOPODIACEAE,Chenopodium,bonus-henricus ,L.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
650 , CHENOPODIACEAE,Chenopodium,bushianum ,Allen,Goosefoot (planted),,"Kampsville, IL",,1988,L.W. Blake,,
651 , CHENOPODIACEAE,Chenopodium,bushianum ,Allen,Goosefoot,,"U.S. Highway 12, MI",,1987,G.J. Fritz,,
652 , CHENOPODIACEAE,Chenopodium,bushianum ,Allen,Goosefoot (planted),,"Kampsville, IL",,1987,G.E. Wagner,,
653 , CHENOPODIACEAE,Chenopodium,capitatum ,(L.) Aschers.,"Strawberry blight, Strawberry spinach",,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
654 , CHENOPODIACEAE,Chenopodium,fremontii ,S. Watts,Goosefoot,,Southwestern United States,,,C. Erickson,,
655 , CHENOPODIACEAE,Chenopodium,giganteum ,D. Don,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
656 , CHENOPODIACEAE,Chenopodium,hybridium ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
657 , CHENOPODIACEAE,Chenopodium,leptophyllum,Nutt. ex. Moq.,,,"Pecos, NM",,10/7/95,G. Powell,,
658 , CHENOPODIACEAE,Chenopodium,polyspermum ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
659 , CHENOPODIACEAE,Chenopodium,quinoa,Willd.,,,W.J. Beal Botanical Garden. MI State Univ.,,1999,G.J. Fritz,,
660 , CHENOPODIACEAE,Chenopodium,quinoa,Willd.,Quinoa.  Faro variety,,"Sierra Blanca, Chile.  St. Joe, MO",,1992,Bill Rose,,
661 , CHENOPODIACEAE,Chenopodium,quinoa,Willd.,Quinoa,,"Acari, Peru",,1989,P.J. Wright,,
662 , CHENOPODIACEAE,Chenopodium,quinoa,Willd.,Quinoa,,"Acharachi, Bolivia",,1977,H.C. Cutler,,
663 , CHENOPODIACEAE,Chenopodium,simplex, (Torr.) Raf.,Maple-leaved  goosefoot,,,,,C. Erickson,,
664 , CHENOPODIACEAE,Chenopodium,vulvaria ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
665 , CHENOPODIACEAE,Erotia,lanata,(Pursh.) Moq.,Winterfat,,"Keetseel Arch. Site, AZ   (NA 2519/242)",,1977,H.C. Cutler,,
666 , CHENOPODIACEAE,Kochia,americana ,Wats.,,,"Pecos, NM",,10/7/95,G. Powell,,
667 , CHENOPODIACEAE,Kochia,scoparia ,(L.) villars,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
668 , CHENOPODIACEAE,Kochia,scoparia,(L.) Schrad.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
669 , CHENOPODIACEAE,Kochia,scoparia,(L.) Schrad.,Fire bush,,,,1977,H.C. Cutler,,
670 , CHENOPODIACEAE,Kochia,scoparia ,(L.)Schrad.  ssp. densiflora (Turcz.) Aellen,,,"Botanical Gardens at University of Leipzig, Germany Collected at Grobkorbetha, Sachsen-Anhalt, Germany",,1998,G.J. Fritz,,
671 , CHENOPODIACEAE,?Pterocarya,stenoptera,sp. Atriplex,,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
672 , CHENOPODIACEAE,Salsola,kali,L.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
673 , CHENOPODIACEAE,Salsola,kali,L.,,,W.J. Beal Botanical Garden. MI State Univ. ,,1999,G.J. Fritz,Collected in Italy?,
674 , CHENOPODIACEAE,Salsola,kali,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
675 , CHENOPODIACEAE,Salsola,kali,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
676 , CHENOPODIACEAE,Salsola,soda ,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
677 , CHENOPODIACEAE,Salsola,soda,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
678 , CHENOPODIACEAE,Sarcobatus,vermiculatus ,(Hook) J. Torr.,Greasewood,,Southwestern United States,,,C. Miksicek,,
679 , CLUSIACEAE,Hypericum,coris ,L.,,,"Botanic Garden of Smith College. Northampton, MA.",,1998,G.J. Fritz,,
680 , CLUSIACEAE,Hypericum,gentianoides ,"L. Britton, Sterns & Poggenb.",,Seeds,Botanic Garden of Smith College.,45,2011,G.J. Fritz,,
681 , CLUSIACEAE,Hypericum,majus ,(A. Gray) Britton,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Bluff Creek Borrow,,1999,G.J. Fritz,,
682 , CLUSIACEAE,Hypericum,majus ,(A. Gray) Britton,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Bluff Creek Borrow,,1/2001,G.J. Fritz,,
683 , CLUSIACEAE,Hypericum,olympicum ,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
684 , CLUSIACEAE,Hypericum,prolificum,L.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Rose Lake Fen,,1999,G.J. Fritz,,
685 , CLUSIACEAE,Hypericum,prolificum ,L.,Shrubby St. John's Wart,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
686 , CLUSIACEAE,Hypericum,prolificum ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/5/94,G.J. Fritz,,
687 , CLUSIACEAE,Hypericum,punctatum ,Lam.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Bear Lake Power Line,,1999,G.J. Fritz,,
688 , CLUSIACEAE,Hypericum,punctatum ,Lam.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Bear Lake Power Line,,1/2001,G.J. Fritz,,
689 , CLUSIACEAE,Hypericum,punctatum , Lam.,,,"Botanic Garden of Smith College.  Northampton, MA.",,1999,G.J. Fritz,,
690 , CLUSIACEAE,Hypericum,pyramidatum,Ait.,Great St. John's  Wart,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
691 , CLUSIACEAE,Hypericum,virginicum ,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Hatfield, MA",,1998,G.J. Fritz,,
692 , COMMELINACEAE,Commelina,communis ,L.,Dayflower,,"Missouri Botanical Garden.  St. Louis, MO",,1977,H.C. Cutler,,
693 , COMMELINACEAE,Tradescantia,sp.,,Spiderwort,,"Richmond Heights, MO",,1993,G.J. Fritz,,
694 , CONVOLVULACEAE,Convolvulus,arvensis ,L.,Field bindweed,,,,1977,H.C. Cutler,,
695 , CONVOLVULACEAE,Convolvulus,humilis ,Jacq.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
696 , CONVOLVULACEAE,Convolvulus,tricolor ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
697 , CONVOLVULACEAE,Ipomoea,,sp.,Morning glory,,"Arch.  From Crenshaw, Md.  (22PA528)",,1984,J. Connaway,,
698 , CONVOLVULACEAE,Ipomoea,hederacea ,(L.)Jacq.,,,"Hortus Botanicus.  Universitatis, Szeged, Hungary",,1997,G.J. Fritz,,
699 , CONVOLVULACEAE,Ipomoea,hederacea ,(L.)Jacq.,Ivy-leaf morning glory,,Southern Weed Science Society,,1991,G.J. Fritz,,
700 , CONVOLVULACEAE,Ipomoea,hederacea ,(L.)Jacq.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
701 , CONVOLVULACEAE,Ipomoea,lancunosa,L.,Pitted morning glory,,Southern Weed Science Society,,1991,G.J. Fritz,,
702 , CONVOLVULACEAE,Ipomoea,leptophylla,,Bush morning glory,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
703 , CONVOLVULACEAE,Ipomoea,pandurata ,(L.) G.F. Meyer,Wild potato vine,,"St. Joe State Park, MO",,1987,L.W. Blake,,
704 , CONVOLVULACEAE,Ipomoea,pandurata ,(L.) G.F. Meyer,Wild potato vine,,,,1977,H.C. Cutler,,
705 , CONVOLVULACEAE,Ipomoea,purpurea ,(L.)Lam.,,,"Hortus Botanicus.  Universitatis, Szeged, Hungary",,1997,G.J. Fritz,,
706 , CONVOLVULACEAE,Ipomoea,purpurea ,(L.)Roth,Common morning glory,,,,1977,H.C. Cutler,,
707 , CONVOLVULACEAE,Ipomoea,tricolor ,Cav.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
708 , CONVOLVULACEAE,Quamoclit,pennata,Bojer,Cypress vine,,Vaughan 2040,,1977,H.C. Cutler,,
709 , CORNACEAE,Cornus,alternifolia ,L.,Alternate-leaved dogwood,,"Cheboygan Co., MI",,1986,L.W. Blake,,
710 , CORNACEAE,Cornus,alternifolia ,L.,Alternate-leaved dogwood,,"Emmet Co., MI",,1989,,,
711 , CORNACEAE,Cornus,alternifolia ,L.f.,,Seeds,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Conway, MA",21,1997,G.J. Fritz,,NEEDS LABEL
712 , CORNACEAE,Cornus,amomum,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Whately, MA",,1997,G.J. Fritz,,
713 , CORNACEAE,Cornus,amomum,Mill.,Pale dogwood,,"Cheboygan Co., MI",,1986,L.W. Blake,,
714 , CORNACEAE,Cornus,florida ,L.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Hidden Lake Gardens Trails,,1999,G.J. Fritz,,
715 , CORNACEAE,Cornus,florida ,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Hatfield, Whately, & Skinner State Park, MA",,1999,G.J. Fritz,,
716 , CORNACEAE,Cornus,florida ,L.,Purple glory,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
717 , CORNACEAE,Cornus,florida ,L.,First Lady,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
718 , CORNACEAE,Cornus,florida ,L.,Flowering dogwood,,,,1991,G.J. Fritz,,
719 , CORNACEAE,Cornus,florida ,L.,Flowering dogwood,,,,5/27/83,D.B. Epstein,,
720 , CORNACEAE,Cornus,florida ,L.,Flowering dogwood,,"From Range Site (11S47).  St. Clair Co., IL",,9/23/78,G.E. Wagner,,
721 , CORNACEAE,Cornus,foemina ,Mill.,Stiff dogwood,,"Butler Co., KY",,1978,G.E. Wagner,,
722 , CORNACEAE,Cornus,foemina,Mill. ssp. racemosa  (Lam.) J. Wilson,,,W.J. Beal Botanical Garden. MI State Univ.,,10/12/94,G.J. Fritz,,
723 , CORNACEAE,Cornus,foemina ,Mill. ssp. racemosa  (Lam.) J. Wilson,Gray dogwood,,"Emmet Co., MI",,1990,L.W. Blake,,
724 , CORNACEAE,Cornus,mas ,L.,,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1994,G.J. Fritz,,
