Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
AMARANTHACEAE,Amaranthus,tricolor,L.,Chinese cabbage,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
AMARANTHACEAE,Amaranthus,tricolor,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,tricolor,L. cv.,White Leaf,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
AMARANTHACEAE,Gomphrena,globosa,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
AMARANTHACEAE,Gomphrena,globosa,L.,Globe Amaranth,,Vaughan 2525,,1977,H.C. Cutler,,
AMARYLLIDACEAE,Agave,angustifolia ,Pursh.,Mescal Bacanora,,"Native Seed Search The Botanic Garden of Smith College Northampton, MA  01063",,1994,,,
AMARYLLIDACEAE,Nothoscordum,bivalve ,(L.) Britt.,,,,,1998,G. Fritz,,
ANACARDIACEAE,Mangifera,,sp. L.,Mango,,"Trader Joe's, Brentwood, Missouri",,11/2008,C. Cagnato,,
ANACARDIACEAE,Choerospondias,axillaris,,Nepali hog plum,,,,2010,R. Spengler,,
ANACARDIACEAE,Pistacia,lentiscus,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
ANACARDIACEAE,Pistacia,terebinthus,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
ANACARDIACEAE,Schinus,molle,L.,,,"""Julia & Alexander N. Diomides"" Botanic Garden. Athens, Greece.",,2/2004,G.J. Fritz,,
ANCARDIACEAE,Rhus,aromatica,Ait.,Fragrant sumac,,,,,C. Erickson,,
ANCARDIACEAE,Rhus,aromatica,Ait.,Fragrant sumac,,"St. Francois State Park, MO",,1985,L.W. Blake,,
ANCARDIACEAE,Rhus,copallina,L.,,,"The Botanic Garden of Smith College. Northampton, MA  01063. collected at Whately, MA",,,,,
ANCARDIACEAE,Rhus,copallina,L.,Shining Sumac,carbonized wood," Edmonson, Co., KY",,7/13/80,G.E. Wagner,,
ANCARDIACEAE,Rhus,copallina L. var. latifolia Engler,L.,Shining Sumac,,"Hawn State Park, MO",,1985,L.W. Blake,,
ANCARDIACEAE,Rhus,copallina L. var. latifolia Engler,L.,,,"Bowman's Hill Wildflower Preserve  New Hope, PA collected at Delhaus Woods at Silver Lake Nature Center.  Bucks Co., PA",,1997,G.J. Fritz,,
ANCARDIACEAE,Rhus,glabra,L.,,,W.J. Beal Botanical Garden MI State Univ. collected at Wampler's Lake,,,,,
ANCARDIACEAE,Rhus,glabra,L.,Smooth sumac,carbonized wood,,,5/4/83,D.B. Epstein,,
ANCARDIACEAE,Rhus,glabra,L.,Smooth sumac,,"Butler Co., KY",,1978,G.E. Wagner,,
ANCARDIACEAE,Rhus,typhina,L.,,,"Bowman's Hill Wildflower Preserve  New Hope, PA collected at Burlington Co., NJ",,1997,G.J. Fritz,,
ANCARDIACEAE,Rhus,typhina,L.,,,"Botanical Garden of Smith College Northampton, MA  01063.  collected at Hatfield, MA",,1997,G.J. Fritz,,
ANCARDIACEAE,Rhus,typhina,L.,Staghorn sumac,,"(planted).  Laumeier Co. Park, St. Louis, Co., MO",,1985,L.W. Blake,,
ANCARDIACEAE,Schinus,molle,L.,,,"Diomides Botanic Garden, Greece",,,,,
ANCARDIACEAE,Shinus,molle,L. molle,,,"Cut near PV-74-2, Acari, Peru. carbonized and uncarbonized wood",,5/20/89,P.J. Wright,,
ANCARDIACEAE,Spondias,purpura,L.,Spanish Plum,,"Managua, Nicaragua",,1977,H.C. Cutler,,
ANNONACEAE,Annona,cherimola,Mill.,Chirimuya,Charred.,"Purchased in Lima, Peru",,6/2/89,P.J. Wright,,
ANNONACEAE,Annona,cherimolina,Mill.,Chirimoya,,"Purchased in Lima, Peru",,6/2/89,P.J. Wright,,
ANNONACEAE,Annona,cherimolla,Mill.,Custard apple,,"Teucacan, Mexico",,1977,H.C. Cutler,,
ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,some charred.,From MO,,9/1996,G.J. Fritz,,
ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,,,,1992,M.L. Williams,,
ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,,"Kampsville, Calhoun Co., IL",,fall 1986,G.E. Wagner,,
ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,,"Centaur, St. Louis Co., MO",,1979,G.E. Wagner,,
ANNONACEAE,Asimina,triloba,(L.) Dunal,Pawpaw,(One seed specimen/ another of bark and fiber),collected from tree in Missouri Botanical Garden which was located where Lehman Bldg. now stands,,1977,H.C. Cutler,,
APIACEAE,Aethusa,cynapium,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
APIACEAE,Angelica,sylvestris,L.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
APIACEAE,Anthriscas,sylvestris,(L.) Hoffm,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
APIACEAE,Anethum,graveolens L. var. hortorum Alef.,,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
APIACEAE,Apium,graveolens,L.,Celery,,Vaughan C-71,,1977,H.C. Cutler,,
APIACEAE,Apium,graveolens L. var. hortorum Alef.,L.,Turnip-rooted celery,,Vaughan V.C.10,,1977,H.C. Cutler,,
APIACEAE,Bupleurum,fruticosum,L.,Shrubby hare's-ear,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
APIACEAE,Carum,carvi,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
APIACEAE,Cnigium,silaifolium,(Jacq.),Simonk,,"Botanical Garden of Bonn University, Germany 2001/2002 Seed List.  No: 03944",,9/2002,G.J. Fritz,,
APIACEAE,Coriandum,savitum,L.,Coriander,,"Nitty Gritty Store, St. Louis",,1980,G.E. Wagner,,
APIACEAE,Dacus,carota,L.,Carrot,,Vaughan 3137,,1977,H.C. Cutler,,
APIACEAE,Eryngium,yuccifolium,Michx.,,,"Collected at MSU Prairie Planting From W.J. Beal Botanical Garden, MI State Univ.",,1999,G.J. Fritz,,
APIACEAE,Eryngium,yuccifolium,Michx.,,,"The Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
APIACEAE,Eryngium,yuccifolium,Michx.,Rattlesnake master,,"Mammoth Cave National Park, KY",,1980,G.E. Wagner,,
APIACEAE,Eryngium,yuccifolium,Michx.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
APIACEAE,Lingusticum,porterii,,"Osha, chuchupate",,"Native Seeds Search.  Tucson, AZ   85719",,1997,G.J. Fritz,,
APIACEAE,Lingusticum,scoticum ,L.,,,"The Botanic Garden of Smith College Northampton, MA  01063",,1998,G.J. Fritz,,
APIACEAE,Osmorhiza,chilensis ,H.& A.,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
APIACEAE,Osmorhiza,chilensis ,H.& A.,,,"Hoyt Arboretum.  Portland, OR  97221",,1997,G.J. Fritz,,
APIACEAE,Osmorhiza,chilensis,H.& A.,Sweet Cicely,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
APIACEAE,Osmorhiza,claytonii  ,(Michx.) C.B. Clarke,,,"W.J. Beal Botanical Garden, MI State Univ.",,11/3/94,G.J. Fritz,,
APIACEAE,Osmorhiza,longistylis,(Torr.)DC,,,"W.J. Beal Botanical Garden, MI State Univ.",,1/2001,G.J. Fritz,,
APIACEAE,Pastinaca,sativa ,L.,Parsnip,,Vaughan Marrowfat  V.P.3,,1977,H.C. Cutler,,
APIACEAE,Petroselinum,crispum  ,Nym.,Common parsley,,Vaughan V.P.2,,1977,H.C. Cutler,,
APIACEAE,Pimpinella,anisum ,L.,Anise,,"Nitty Gritty Store, St. Louis",,1980,G.E. Wagner,,
APIACEAE,Zizia,aurea,(L.) Koch.,,,"W.J. Beal Botanical Garden, MI State Univ. Collected at Garvey Road",,1999,G.J. Fritz,,
APIACEAE,Zizia,aurea ,(L.) Koch.,,,"W.J. Beal Botanical Garden, MI State Univ. Collected at Garvey Road",,1/2001,G.J. Fritz,,
APIACEAE,Zizia,aurea ,(L.) Koch.,Golden Alexanders,,"Bowman's Hill Wildflower Preserve Washington Crossing Historic Park, PA",,1995,G.J. Fritz,,
APOCYNACEAE,Amsonia,hubrichtii ,Woodson,,,"The Botanic Garden of Smith College Northampton, MA    01063",,1997,G.J. Fritz,,
APOCYNACEAE,Apocynum,androsaemifolium,,,,"W.J. Beal Botanical Garden, MI State Univ. from MI, Ingham county, open old Field, Bear Lake Powerline",,3/6/07,G.J. Fritz,,
APOCYNACEAE,Apocynum,androsaemifolium,L.,,,"collected at litzsinger Road Ecology Center St. Louis, MO",,summer 1994,M. Williams,,
APOCYNACEAE,Apocynum,cannabinum,L.,,,W.J. Beal Botanical Garden.  MI State Univ. collected at Portage Lake Prairie,,1999,G.J. Fritz,,
