Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
FAGACEAE,Fagus,grandifolia,Ehrh.,American beech,,"Butler Co., KY",,1978,G.E. Wagner,,
FAGACEAE,Fagus,grandifolia ,Ehrh.,American beech,,"W. Feliciana Parish, LA",,1985,M. Standifer,,
FAGACEAE,Quercus,alba,L.,White oak,,"St. Louis, MO",,1991,G. Powell,,
FAGACEAE,Quercus,alba,L.,White oak,,"St. Louis Co., MO",,3/25/84,D. Epstein,,
FAGACEAE,Quercus,alba,L.,White oak,,"Paducah, KY",,1977,H.C. Cutler,,
FAGACEAE,Quercus,arizonica ,Sarg.,Arizona oak,,"From Chiricahua Mountains, AZ",,1977,H.C. Cutler,,
FAGACEAE,Quercus,coccinea ,Muench.,Scarlet oak,,"From Mine La Motte, MO",,1977,H.C. Cutler,,
FAGACEAE,Quercus,coccinea ,Muench.,Scarlet oak,,"From Jerome, MO",,1977,H.C. Cutler,,
FAGACEAE,Quercus,falcata ,Michx.,Spanish oak,,"From Massac Co., IL",,1977,H.C. Cutler,,
FAGACEAE,Quercus,gambelii ,Nutt.,"Rocky Mountain White oak, Gambel Oak",,From New Mexico,,1977,H.C. Cutler,,
FAGACEAE,Quercus,gambelii ,Nutt.,Gambel Oak,,,,,C. Erickson,,
FAGACEAE,Quercus,grisea ,Liebm.,Gray oak,,"From Chisos Mountains, TX",,1977,H.C. Cutler,,
FAGACEAE,Quercus,imbricaria,Michx.,Shingle-oak,,"From St. Anne, MO",,2/14/76,G.E. Wagner,,
FAGACEAE,Quercus,imbricaria,Michx.,Shingle-oak,,No identification,,,,,
FAGACEAE,Quercus,laurifolia ,Michx.,"Laurel oak, Swamp laurel oak",,"From Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,
FAGACEAE,Quercus,lyrata ,Walt.,"Over-cup oak, Swamp-Post-Oak",,"From Mississippi Co., MO",,1977,H.C. Cutler,,
FAGACEAE,Quercus,macrocarpa,,Bur oak,,"From St. Louis, MO",,fall 1991,G. Powell,,
FAGACEAE,Quercus,macrocarpa,Michx.,Bur oak,,"From Clayton, St. Louis Co., MO",,10/28/79,G.E. Wagner,,
FAGACEAE,Quercus,marilandica ,Muenchh.,Black Jack Oak,,"From Franklin Co., MO",,9/18/76,G.E. Wagner,,
FAGACEAE,Quercus,michauxii ,Nutt.,"Swamp-White Oak, Basket Oak",,"Butler Co., KY",,10/15/78,G.E. Wagner,,
FAGACEAE,Quercus,michauxii ,Nutt.,Basket Oak,,,,,C. Miksecek,,
FAGACEAE,Quercus,muhlenbergii,Engelm.,Yellow Chestnut Oak,,"From Selma, MO",,1977,H.C. Cutler,,
FAGACEAE,Quercus,nigra,L.,"Water Oak,  Possum Oak",,,,1977,H.C. Cutler,,
FAGACEAE,Quercus,palustris,Muenchh.,Pin Oak,,"St. Louis Co., MO  ",,9/18/78,,,
FAGACEAE,Quercus,palustris ,Muenchh.,Pin Oak,,From Missouri,,1977,H.C. Cutler,,
FAGACEAE,Quercus,phellos ,L.,Willow Oak,,,,1977,H.C. Cutler,,
FAGACEAE,Quercus,prinus,L.,Chestnut Oak,,"From Woodruff Co., Ark.",,1977,H.C. Cutler,,
FAGACEAE,Quercus,prinoides ,Willd. var. acuminata (Michx.) GL.,,,"St. Louis Co., MO",,11/6/78,,,
FAGACEAE,Quercus,robur ,L.,,,"Hortus Botanicus.  Universitatis, Szeged, Hungaria",,1997,G.J. Fritz,,
FAGACEAE,Quercus,robur ,L.,Red Oak,,"St. Louis, MO",,Fall 1991,G. Powell,,
FAGACEAE,Quercus,robur ,L.,Red Oak,,"St. Louis Co., MO",,10/22/78,,,
FAGACEAE,Quercus,robur ,L.,Red Oak,,"St. Louis Co., MO",,9/18/78,,,
FAGACEAE,Quercus,robur ,L.,Red Oak,,"Missouri Botanical Gardens.  St. Louis Co., MO",,11/22/75,G.E. Wagner,,
FAGACEAE,Quercus,robur ,L.,Northern Red Oak,,"From Range Site (11S47).  St. Clair Co., IL",,,G.E. Wagner,,
FAGACEAE,Quercus,shumardii ,Buckley,Shumard's Oak,,"From MO River Trail.  Augusta, St. Charles Co., MO",,1993,,,
FAGACEAE,Quercus,shumardii ,Buckl.,Shumard's Red Oak,,"From Hempstead Co., Ark.",,1977,H.C. Cutler,,
FAGACEAE,Quercus,stellata ,Wangh.,Post Oak,,"From Pike Co., Ark",,1977,H.C. Cutler,,
FAGACEAE,Quercus,trojana ,Webb.,,,"Arboretum Trsteno, Hrvatska-Croatia",,1999,G.J. Fritz,,
FAGACEAE,Quercus,turbinella,,Scrub Oak,"Nuts, caps.","Upper Fishhook Canyon, near Thatcher, SE Arizona",,8/6/01,K. Hanselka,,
FAGACEAE,Quercus,undulata ,Torr.,Rocky Mountain Shin Oak,,"From Chisos Mountains, TX",,1977,H.C. Cutler,,
FAGACEAE,Quercus,velutina ,Lam.,Black Oak,,"From Allenton, MO",,1977,H.C. Cutler,,
FAGACEAE,Quercus,velutina ,Lam.,Black Oak,,"St. Louis, MO",,11/22/75,G.E. Wagner,,
FAGACEAE,Quercus,velutina ,Lam.,Black Oak,,"St. Louis Co., MO  (large specimen drawer)",,10/7/78,,,
FAGACEAE,Quercus,velutina ,Lam.,Black Oak,,"Missouri Botanical Gardens.  St. Louis Co., MO",,11/22/75,G.E. Wagner,,
FAGACEAE,Quercus,velutina ,Lam.,Black Oak,,No identification,,,,,
FAGACEAE,Quercus,virginana ,Mill.,Live Oak,,"From Mobile, AL",,11/11/90,L.W. Blake,,
GERANIACEAE,Geranium,caespitosum,,Purple Geranium,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
GERANIACEAE,Geranium,carolinianum ,L.,Cranesbill,,"Tensas Parish, LA",,1990,G.J. Fritz,,
GERANIACEAE,Geranium,eriostemon,Fisch.,,,"Botanical Garden of Bonn University, Germany",,9/2002,G.J. Fritz,,
GERANIACEAE,Geranium,maculatum,L.,Wood Geranium,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
GERANIACEAE,Geranium,maculatum,L.,Geranium,,"St. Francois Co., MO",,1985,L.W. Blake,,
GERANIACEAE,Geranium,maculatum,L.,Geranium,,"Montgomery Co., OH",,1981,G.E. Wagner,,
GERANIACEAE,Erodium,moschatam,,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
GINKGOACEAE,Ginkgo,biloba,,Ginkgo (cultivated),,"From Delmar St., St. Louis, MO",,Fall 2002,D. Kaufmann,,
GROSSULARIACEAE,Ribes,aureum,,Golden Currant,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
GROSSULARIACEAE,Ribes,sanguineum ,Pursh.,Red-flowering currant,,"Hoyt Arboretum.  Portland, OR  97221",,1995,G.J. Fritz,,
GROSSULARIACEAE,Ribes,uva-crispi ,L.,Garden gooseberry,,"Orland E. White Arboretum.  Blandy Experimental Farm.  Univ. of Virginia.  Boyce, VA",,1996,G.J. Fritz,,
HAMAMELIDACEAE,Hamamelis,virginiana ,L.,Easter of American Witch Hazel,,"Sheffield Seed Co.  Locke, NY  13092",,1995,M. Williams,,
HAMAMELIDACEAE,Hamamelis,virginiana ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
HAMAMELIDACEAE,Liquidambar,styraciflua,L.,Sweet Gum,,"St. Louis Co., MO",,6/20/83,D.B. Epstein,,
HAMAMELIDACEAE,Liquidambar,styraciflua ,L.,Sweet Gum,,"From Wash. U. Campus.  St. Louis Co., MO",,9/29/78,G.E. Wagner,,
HIPPOCASTANACEAE,Aesculus,glabra,Willd.,Ohio Buckeye,,"From River Road to Incinerator Site (33My57) Montgomery Co., Dayton, OH",,8/21/78,G.E. Wagner,,
HIPPOCASTANACEAE,Aesculus,hippocastanum,L.,Horse chestnut,,"St. Louis, MO",,1978,G.E. Wagner,,
HYDRANGACEAE,Hydrangea,arborescens,L.,Wild Hydrangea,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Wash. Crossing Historic Park, PA",,1995,G.J. Fritz,,
HYDROPHYLLACEAE,Phacelia,campanularia,,California Bluebells,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
HYDROPHYLLACEAE,Phacelia,campanularia ,Gray,,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
HYDROPHYLLACEAE,Phacelia,congesta ,Hook,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
HYDROPHYLLACEAE,Phacelia,nemoralis ,Greene,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
HYDROPHYLLACEAE,Phacelia,tanacetifolia,Benth.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
HYDROPHYLLACEAE,Phacelia,tanacetifolia,Benth.,,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
HYPERICACEAE,Hypericum,perforatum,L.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
HYPERICACEAE,Hypericum,punctatum,L.,,Seeds,"Botanic Garden of Smith College.  Northampton, MA  01063.",46,,,,NEEDS LABEL
HYPERICACEAE,Hypericum,virginicum,L.,,,"Botanic Garden of Smith College.  Northampton, MA",,9/2004,G.J. Fritz,,
IRIDACEAE,Anomatheca,laxa,,,,W.J. Beal Botanical Garden. MI State Univ.,,3/1/06,G.J. Fritz,,
IRIDACEAE,Belamcanda,chinensis,,,,W.J. Beal Botanical Garden. MI State Univ.,,3/1/06,G.J. Fritz,,
IRIDACEAE,Dietes,iridioides,,,,W.J. Beal Botanical Garden. MI State Univ.,,3/1/06,G.J. Fritz,,
IRIDACEAE,Iris,graminea,L.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.",,4/16/07,G.J. Fritz,,
IRIDACEAE,Iris,missouriensis,,Western Blue Flag,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
IRIDACEAE,Iris,pseudacorus ,L.,Yellow iris,,"St. Louis Co., MO",,1977,H.C. Cutler,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,Seeds,Botanic Garden of Smith College,60,11/2009,G.J. Fritz,,NEEDS LABEL
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.",,4/16/07,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,,W.J. Beal Botanical Garden. MI State Univ.  Collected at Biggie Munn Power Line,,1999,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.  Collected at Whately, MA.",,1999,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.  Collected at Whately, MA.",,1998,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,Blue-eyed grass,,"Bowman's Hill Wildflower Preserve.  New Hope, PA Collected at Monroe Co., PA",,1997,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.  Collected at Whately, MA.",,1997,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,Blue-eyed grass,,W.J. Beal Botanical Garden. MI State Univ.,,1/2001,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,angustifolium,Mill.,,Seeds,Botanischer Garten der Universität Leipzig,1907,1997,G.J. Fritz,,NEEDS LABEL
IRIDACEAE,Sisyrinchium,californicum ,(Ker-Gawl.) Dyand.,,,"Botanical Garden of Bonn University, Germany",,9/2002,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,graminoides ,Bickn.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,mucronatum ,Michx.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.",,4/16/07,G.J. Fritz,,
IRIDACEAE,Sisyrinchium,mucronatum ,Michx.,,,"Botanic Garden of Smith College.  Northampton, MA  01063.",,6/16/06,G.J. Fritz,,
JUGLANDACEAE,Carya,,sp.,Hickory,,"St. Louis, MO",,1991,G. Powell,,
JUGLANDACEAE,Carya,,sp.,Bitternut hickory,,"Tensas Parish, LA",,1989,G.J. Fritz,,
JUGLANDACEAE,Carya,,sp.,Hickory,,"From St. Louis Co., MO",,9/17/83,D.B. Epstein,,
JUGLANDACEAE,Carya,,sp.,,,Location 73-2056-44,,4/28/73,,,
JUGLANDACEAE,Carya,aquatica ,(Michx. f.) Nutt.,Water Hickory,,"Avoyelles Par., LA",,1988,G.J. Fritz,,
JUGLANDACEAE,Carya,cordiformis,(Wang.) K. Koch.,Bitternut hickory,,"Tensas Parish, LA",,1989,G.J. Fritz,,
JUGLANDACEAE,Carya,cordiformis,(Wang.) K. Koch.,Bitternut hickory,,"Dupo, St. Clair Co., IL",,1975,G.E. Wagner,,
JUGLANDACEAE,Carya,cordiformis,(Wang.) K. Koch.,Bitternut hickory,,"St. Louis, MO",,1975,G.E. Wagner,,
JUGLANDACEAE,Carya,cordiformis,(Wang.) K. Koch.,Bitternut hickory,,"St. Louis, MO",,1975,L.W. Blake,,
JUGLANDACEAE,Carya,cordiformis,(Wang.) K. Koch.,Bitternut hickory,,Kentucky,,1975,G.E. Wagner,,
JUGLANDACEAE,Carya,cordiformis,(Wang.) K. Koch.,Bitternut hickory,,,,,C. Miksicek,,
JUGLANDACEAE,Carya,glabra ,(Mill.),Sweet Pignut,,Kentucky,,1975,G.E. Wagner,,
JUGLANDACEAE,Carya,glabra ,(Mill.),Sweet Pignut,,,,,C. Miksicek,,
JUGLANDACEAE,Carya,illinoensis ,(Wang.) K. Koch.,Pecan,,Osceola site Louisiana,,1990,G.J. Fritz,,
JUGLANDACEAE,Carya,illinoensis ,(Wang.) K. Koch.,Pecan,,"Tensas Parish, LA",,1989,G.J. Fritz,,
JUGLANDACEAE,Carya,illinoensis ,(Wang.) K. Koch.,Pecan,,"From Kampsville, Calhoun Co., IL",,Fall 1986,G.E. Wagner,,
JUGLANDACEAE,Carya,illinoensis ,(Wang.) K. Koch.,Pecan,,,,,C. Miksicek,,
JUGLANDACEAE,Carya,laciniosa ,(Michx.f.) Loud.,Big shellbark,,"Butler Co., KY",,1977,G.E. Wagner,,
JUGLANDACEAE,Carya,ovata ,(Mill.) K.Koch,Shagbark,,,,,C. Miksicek,,
JUGLANDACEAE,Carya,ovata ,(Mill.) K.Koch var. pubescens Sarg.,Shagbark,,"Butler Co., KY",,10/13/79,G.E. Wagner,,
JUGLANDACEAE,Carya,ovata ,(Mill.) K.Koch var. pubescens Sarg.,Shagbark hickory,,Experimentally charred by M. Williams  5/1992,,10/13/79,G.E. Wagner,,
JUGLANDACEAE,Carya,ovata,(Mill.) K.Koch var. pubescens Sarg.,,,"Butler Co., KY",,10/15/78,G.E. Wagner,,
JUGLANDACEAE,Carya,ovata,(Mill.) K.Koch var. pubescens Sarg.,Shagbark hickory,,No Data,,,,,
JUGLANDACEAE,Carya,pallida ,(Ashe) Engl.  Graebn.,Pale Hickory,,"St. Clair Co., IL",,1978,G.E. Wagner,,
JUGLANDACEAE,Carya,tomentosa ,(Poir.) Nutt.,Mockernut,,Kentucky,,1978,G.E. Wagner,,
JUGLANDACEAE,Carya,tomentosa ,(Poir.) Nutt.,Mockernut,,"From hills east of Barrick's Market Store, Kentucky",,9/28/75,G.E. Wagner,,
JUGLANDACEAE,Juglans,cinera ,L.,Butternut,,,,,C. Miksicek,,
JUGLANDACEAE,Juglans,major ,(Torr.) Heller,Arizona walnut,,,,,C. Miksicek,,
JUGLANDACEAE,Juglans,major ,(Torr.) Heller,Arizona walnut,,"Arch. Site NA700,L4",,,C. Miksicek,,
JUGLANDACEAE,Juglans,mandshurica,Maxim,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
JUGLANDACEAE,Juglans,microcarpa ,Berlandier,"Little walnut, Texas walnut",,"From Carlsbad, NM",,3/1986,P.J. Watson,,
JUGLANDACEAE,Juglans,nigra ,L.,Black walnut,,"St. Louis, MO",,1991,G. Powell,,
JUGLANDACEAE,Juglans,nigra ,L.,Black walnut,,"From mansion in Vandaerventer Place. St. Louis, MO",,4/9/88,L.W. Blake,,
JUGLANDACEAE,Juglans,nigra ,L.,Black walnut,,"From St. Louis Co., MO",,8/14/83,D.B. Epstein,,
JUGLANDACEAE,Juglans,nigra ,L.,Black walnut,,"Forest Park,  St. Louis, MO",,1975,G.E. Wagner,,
JUGLANDACEAE,Juglans,nigra ,L.,Black walnut,,,,,C. Miksicek,,
JUGLANDACEAE,Juglans,regis,L.,English walnut,,Store bought nut mix,,1976,K. Carstens,,
JUGLANDACEAE,Pterocarya,pterocarpa ,(Michx.) Kunth,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
JUGLANDACEAE,Pterocarya,rhoifolia ,Siebold & Zucc.,,,"Hoyt Arboretum.  Portland, OR  97221",,1997,G.J. Fritz,,
JUGLANDACEAE,Pterocarya,stenoptera ,C. DC.,,,"Hoyt Arboretum.  Portland, OR  97221",,1997,G.J. Fritz,,
JUNCACEAE,Juncus,acutiflorus,Ehrh. Ex. Hoffm.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
JUNCACEAE,Juncus,conglomerates ,L.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
JUNCACEAE,Juncus,effusus,L.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
JUNCACEAE,Juncus,effusus,L.,,,"Botanic Garden of Smith College.  Northampton, MA Collected from Hampshire county, MA",,6/16/06,G.J. Fritz,,
JUNCACEAE,Juncus,tenuis ,Willd.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
JUNCACEAE,Juncus,trifidus,L.,,,"Botanical Garden of Bonn University, Germany",,2003,G.J. Fritz,,
JUNCACEAE,Luzula,luzuloides ,(Lam.) Dandy & Wilmott,Wood-rush,,"Botanical Gardens at University of Leipzig, Germany",,1995,G.J. Fritz,,
JUNCACEAE,Luzula,nutans,(Vill.) Duval-Jouve,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
LAMIACEAE,Agastache,nepetoides,(L.) Kuntze.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/14/94,G.J. Fritz,,
LAMIACEAE,Collinsonia,canadense ,L.,,,"Botanic Garden of Smith College.  Northampton, MA",,9/2004,G.J. Fritz,,
LAMIACEAE,Dracocephalum,parviflorum ,Nutt.,Small-flowered  dragonhead,,,,1977,H.C. Cutler,,
LAMIACEAE,Galeopsis,segetum,Necker.,Downy hemp-nettle,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
LAMIACEAE,Lycopus,americanus, Muhl.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/5/94,G.J. Fritz,,
LAMIACEAE,Lycopus,uniflorus ,Michx.,,,W.J. Beal Botanical Garden. MI State Univ.,,9/15/94,G.J. Fritz,,
LAMIACEAE,Mentha,canadensis,L.,,,"Botanic Garden of Smith College.  Northampton, MA",,9/2004,G.J. Fritz,,
LAMIACEAE,Monarda,,sp.,Horsemint,,"Dallas, TX",,1988,G.J. Fritz,,
LAMIACEAE,Monarda,citiodora,,Lemon Mint,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
LAMIACEAE,Monarda,fistulosa,L.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Biggie Munn Power Line,,1999,G.J. Fritz,,
LAMIACEAE,Monarda,fistulosa,L.,"Horsemint, Wild  bergamot",,"Missouri Wildflower Nursery.  Jefferson City, MO",,6/1994,G.J. Fritz,,
LAMIACEAE,Monarda,punctata ,L.,,,W.J. Beal Botanical Garden. MI State Univ. Collected at Portage Lake Prairie,,1999,G.J. Fritz,,
LAMIACEAE,Monarda,punctata ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,11/4/94,G.J. Fritz,,
LAMIACEAE,Nepeta,cataria,L.,,,Botanical Gardens at University of Meckenheimer,,10/13/06,G.J. Fritz,,
LAMIACEAE,Origanum,vulgare,,,,Botanischer Garten der Universität Leipzig,S32,,,,Seeds
LAMIACEAE,Prunella,vulgaris,L.,Self-heal,,"Missouri Botanical Gardens.  St. Louis, MO",,1977,H.C. Cutler,,
LAMIACEAE,Pycanthemum,virginianum ,L. Durand & Jackson,,,W.J. Beal Botanical Garden. MI State Univ.,,10/1/93,G.J. Fritz,,
LAMIACEAE,Salvia,,,,,"Tuzusai, Kazakhstan in open field",,2010,R. Spengler,,
LAMIACEAE,Salvia,azurea ,Lam.,Blue sage,,"Missouri Wildflower Nursery.  Jefferson City, MO",,6/1994,G.J. Fritz,,
LAMIACEAE,Salvia,hispanica ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,1997,G.J. Fritz,,
LAMIACEAE,Scutellaria,incana,Biehler.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA",,1997,G.J. Fritz,,
LAMIACEAE,Scutellaria,incana,Biehler.,Downy skullcap,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Washington Crossing Historic Park, PA.",,1995,G.J. Fritz,,
LAMIACEAE,Scutellaria,integrifolia,L.,Hyssop skullcap,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Washington Crossing Historic Park, PA.",,1995,G.J. Fritz,,
LAMIACEAE,Scutellaria,lateriflora ,L.,,,"Botanic Garden of Smith College.  Northampton, MA.  Collected at Whately, MA",,5/2001,G.J. Fritz,,
LAMIACEAE,Teucrium,canadense ,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,10/26/94,G.J. Fritz,,
LAMIACEAE,Trichostema,dichotomum,L.,,,W.J. Beal Botanical Garden. MI State Univ.,,11/4/94,G.J. Fritz,,
LAURACEAE,Lindera,benzoin ,(L.) Blume,Spicebush,,W.J. Beal Botanical Garden. MI State Univ.,,9/25/00,G.J. Fritz,,
LAURACEAE,Lindera,benzoin ,(L.) Blume,Spicebush,,"From Washington State Park. Washington Co., MO",,8/21/86,L.W. Blake,,
LAURACEAE,Lindera,benzoin ,(L.) Blume,Spicebush,,"St. Louis Co., MO",,1978,L.W. Blake,,
LAURACEAE,Lindera,benzoin ,,Spicebush,Seeds,Sheffield Seed Co,,1993,M. Williams,,NEEDS LABEL
LAURACEAE,Persea,americana,Mill.,"Avocado, Aguacate",,"Supermarket (Purchased by Amanda Landon, Olive Supermarket, Olive Blvd, St. Louis, MO)",,10/2008,A. J. Landon,,
LAURACEAE,Sassafras,albidum ,(Nutt.) Nees.,Sassafras,,"St. Francois Co., MO",,1990,L.W. Blake,,
LAURACEAE,Sassafras,albidum ,(Nutt.) Nees.,Sassafras,,"From near Bt5, Butler Co., KY",,11/14/78,G.E. Wagner,,
LECYTHIDACEAE,Bertholletia,excelsa ,Humb. & Bonpl.,Brazil nut,,,,1976,K. Carstens,,
LILIACEAE,Liliaceous seeds,,,,,South 40 Area. Washington University. St. Louis,,1993,G.J. Fritz,,
LILIACEAE,Allium,cepa,L.,"Onion ""Silver Skin""",,Vaughan 424,,1977,H.C. Cutler,,
LILIACEAE,Allium,cepa,L.,"Onion ""Wethersfield""",,Vaughan 35288,,1977,H.C. Cutler,,
LILIACEAE,Allium,cernuum,,Pink Nodding Onion,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
LILIACEAE,Allium,cernuum ,Roth.,Nodding Wild Onion,,Prairie Future Seed Co.,,1995,M. Williams,,NEEDS LABEL
LILIACEAE,Allium,moly,L.,,,"Botanical Garden of Bonn University, Germany",,6/1994,,,
LILIACEAE,Allium,porrum,L.,"Onion ""Elephant L-2""",,Vaughan 3403,,1977,H.C. Cutler,,
LILIACEAE,Allium,tricoccum ,,,,"W.J. Beal Botanical Garden. MI State Univ. from MI, Ingham County, open field, Bear Lake Powerline",,3/6/07,G.J. Fritz,,
LILIACEAE,Allium,tricoccum,Ait.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Collected at Haycock Twp. Bucks Co., PA",,1997,G.J. Fritz,,
LILIACEAE,Allium,tricoccum ,Ait.,Ramps,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Collected at Haycock Twp. Bucks Co., PA",,1997,G.J. Fritz,,
LILIACEAE,Asparagus,officinalis ,L. var. altilia L.,Common garden asparagus,,Vaughan 3005,,1977,H.C. Cutler,,
LILIACEAE,Calochorus,,sp.,Sego-lily,,"Navajo Co., AZ.  Black Mesa",,1982,G.E. Wagner,,
LILIACEAE,Camassia,leichtlinii,(Bak.) S. Wats.,,,"Hoyt Arboretum.  Portland, OR  97221",,1999,G.J. Fritz,,
LILIACEAE,Camassia,leichtlinii,(Bak.) S. Wats.,,,"Hoyt Arboretum.  Portland, OR  97221 From garden collection.",,1997,G.J. Fritz,,
LILIACEAE,Camassia,leichtlinii,(Bak.) S. Wats.,Large Camas,,"Hoyt Arboretum.  Portland, OR  97221",,1995,G.J. Fritz,,
LILIACEAE,Camassia,leichtlinii,(Bak.) S. Wats.,Giant Camas,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
LILIACEAE,Clintonia,borealis ,(Aiton)Raf,,,"W.J. Beal Botanical Garden. MI State Univ. Collected at Chippewa Co., MA",,1999,G.J. Fritz,,
LILIACEAE,Clintonia,borealis ,(Ait.) Raf.,,,"Botanic Garden of Smith College.  Northampton, MA. Hawley, Franklin county, MA,  mixed conifer/ deciduous forest",,4/16/07,G.J. Fritz,,
LILIACEAE,Convallaria,majelis,L.,Lily-of-the-Valley,,,,1977,H.C. Cutler,,
LILIACEAE,Dichelostemma,pulchellum,,Blue Dicks/ Wild Hyacinth,,"Plants of the Southwest.  Santa Fe, NM  87501",,1999,G. Powell,,
LILIACEAE,Disporum,hookeri, (Torr.) Nichols.,,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
LILIACEAE,Disporum,smithii ,(Hook)Piper,Bellwort,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
LILIACEAE,Erythronium,americanum,Ker.,,,Botanic Garden of Smith College,,11/2009,G.J. Fritz,,
LILIACEAE,Erythronium,americanum ,Ker. Gawl.,,,"Botanic Garden of Smith College.  Northampton, MA. Northhampton, Hampshire county, MA, disturbed floodplain forest.",,4/16/07,G.J. Fritz,,
LILIACEAE,Lillium,columbianum ,Hanson ex Bak. ,,,"Hoyt Arboretum.  Portland, OR  97221",,1997,G.J. Fritz,,
LILIACEAE,Lillium,columbianum ,Hans,Tiger Lily/ Oregon lily,,"Hoyt Arboretum.  Portland, OR  97221",,1995,G.J. Fritz,,
LILIACEAE,Lillium,columbianum ,Hans,Tiger Lily,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
LILIACEAE,Lillium,superbum ,L.,,,"Bowman's Hill Wildflower Preserve.  New Hope, PA. Washington Crossing State Park",,1995,G.J. Fritz,,
LILIACEAE,Mainthemum,diliatatum,(Wood) Nels. & McBr.,Wild Lily-of-the-Valley,,"Hoyt Arboretum.  Portland, OR  97221",,4/1994,G.J. Fritz,,
LILIACEAE,Maianthemum,racemosum,(L.) Link.,False Solomon's Seal,,"Emmet Co., MI",,1986,L.W. Blake,,
LILIACEAE,Maianthemum,racemosum,(L.) Link.,False Solomon's Seal,,"St. Francois Co., MO",,1985,L.W. Blake,,
